gisjoin1890	year	statename	statenum	countyname	countynum	tpop	ln_totinc_pc1970	unionstates	gini_farmsize	banks50c	banks25c	capitalstock1902	banks50c1902	banks25c1902	tval_pc	capitalstock50pc	capitalstock_pc	ln_tval_pc	ln_manuf_val_pc	ln_farmprod_val_pc	ln_livestock_val_pc	ln_farm_mach_val_pc	ln_area_imp_farm_pc	ln_area_imp_farm	ln_manuf_estb	ln_numfarms	ln_meanfarmsize	ln_liabilities	ln_capitalstock	ln_loans	ln_liabilities_pc	ln_capitalstock_pc	ln_loans_pc	ln_tpop	banks_pc	farm_yield	insample_unionrural	insample_allrural	Mexcess_capital_pc	Mopt_capital_pc
2800010.0	1870	MISSISSIPPI	280	ADAMS	10	19084	768559	0	0.6588009595870972	0	0	0	0	0	107869156	0	0.0	4680919	23114536	45827208	36457179	18455509	20184877	11875093	42341065	70842266	48302865							9856606	0.0	12990692	0	1	-37500000	37500000
2800010.0	1880	MISSISSIPPI	280	ADAMS	10	22649	768559	0	0.7447383403778076	0	0	0	0	0	6167429	0	0.0	4121867	31039772	3673458	25856848	18167367	10972278	11125099	39512436	75760975	46377625							10027871	0.0	13147481	0	1	-56400000	56400000
2800010.0	1900	MISSISSIPPI	280	ADAMS	10	30111	768559	0	0.6013519763946533	0	0	100	0	0	8642014	0	0.0	4459221	37821398	37497451	2736226	13215234	0.8958718	11208518	43820267	78567066	4084485							10312646	0.0	17354874	0	1	-55700000	55700000
2800030.0	1870	MISSISSIPPI	280	ALCORN	30	10431	76675606	0	0.6422463655471802	0	0	0	0	0	7477845	0	0.0	431453	254848	4126986	36430132	17010722	13760804	10628618	34339871	7106606	39651985							9252538	0.0	15656804	0	1	-46300000	46300000
2800030.0	1880	MISSISSIPPI	280	ALCORN	30	14272	76675606	0	0.4805336892604828	0	0	0	0	0	5425154	0	0.0	39936314	24623315	37499607	28693898	10352688	130377	10869824	41743875	7325149	5112103							9566055	0.0	11544287	0	1	-42900000	42900000
2800030.0	1890	MISSISSIPPI	280	ALCORN	30	13115	76675606	0	0.47400835156440735	0	0	0	0	0	51091957	0	0.0	39336271	32687466	32113907	31450129	10915983	15121692	10993681	33672957	7387709	5070419							9481512	0.0	54696875	0	1	-51100000	51100000
2800030.0	1900	MISSISSIPPI	280	ALCORN	30	14987	76675606	0	0.4736272096633911	0	0	0	0	0	10347261	0	0.0	4639307	40708003	38037417	32766623	17440197	15583518	1117329	4189655	7572503	467632							9614939	0.0	9444097	0	1	-66200000	66200000
2800050.0	1870	MISSISSIPPI	280	AMITE	50	10973	723203	0	0.7383281588554382	0	0	0	0	0	111560196	0	0.0	47145643	0.5777933	4698461	38698368	10456213	20098171	1131301	26390574	7270313	4392979							9303193	0.0	14711712	0	1	-26200000	26200000
2800050.0	1880	MISSISSIPPI	280	AMITE	50	14004	723203	0	0.5427782535552979	0	0	0	0	0	5480127	0	0.0	4003713	13999293	39268398	30782175	1436498	14893224	11036421	37841897	73901815	53953767							9547098	0.0	11444593	0	1	-40000000	40000000
2800050.0	1890	MISSISSIPPI	280	AMITE	50	18198	723203	0	0.5968713760375977	0	0	0	0	0	8253627	0	0.0	4413238	24002752	4269838	33764966	14828377	18888016	11697868	465396	79006367	5054987							9809067	0.0	10816108	0	1	-53200000	53200000
2800050.0	1900	MISSISSIPPI	280	AMITE	50	20708	723203	0	0.551639974117279	0	0	0	0	0	74897964	0	0.0	4316127	19514551	42174325	33326976	19796817	17805905	11718866	42341065	8095599	46610475							9938275	0.0	11436867	0	1	-51600000	51600000
2800070.0	1870	MISSISSIPPI	280	ATTALA	70	14776	73825603	0	0.6331747770309448	0	0	0	0	0	11004196	0	0.0	4700862	22552023	46102047	37819939	17995011	16239504	112247095	37612002	74866133	4168944							96007595	0.0	1981134	0	1	-33700000	33700000
2800070.0	1880	MISSISSIPPI	280	ATTALA	70	19988	73825603	0	0.4495438039302826	0	0	0	0	0	62008606	0	0.0	4127273	18847413	4015012	31569324	1516002	1537833	11440721	40073333	7720018	53256803							9902887	0.0	11907625	0	1	-41900000	41900000
2800070.0	1890	MISSISSIPPI	280	ATTALA	70	22213	73825603	0	0.43823447823524475	0	0	0	0	0	53275875	0	0.0	39754837	0.82932276	3931514	32965186	16862305	1737824	11746257	28332133	7932003	52103443							10008433	0.0	89682455	0	1	-60900000	60900000
2800070.0	1900	MISSISSIPPI	280	ATTALA	70	26248	73825603	0	0.501049816608429	0	0	0	0	0	63618484	0	0.0	4152904	19543864	40352826	32532184	17869667	17453163	11920661	44886365	8385033	45275197							10175345	0.0	9874605	0	1	-52900000	52900000
2800090.0	1880	MISSISSIPPI	280	BENTON	90	11023	72876234	0	0.5357398986816406	0	0	0	0	0	55508934	0	0.0	4016544	15506634	3927785	3302364	19426908	1616417	10924156	2944439	74342575	50220876							9307739	0.0	10088215	0	1	-55300000	55300000
2800090.0	1890	MISSISSIPPI	280	BENTON	90	10585	72876234	0	0.4841812252998352	0	0	0	0	0	617504	0	0.0	41231003	28189578	3806463	34217067	14804444	18518894	11119082	34339871	732185	51709085							9267193	0.0	7060908	0	1	-62900000	62900000
2800090.0	1900	MISSISSIPPI	280	BENTON	90	10510	72876234	0	0.5075792074203491	0	0	0	0	0	6492065	0	0.0	4173166	151208	41007323	34927466	17663847	18196572	1107974	33672957	75320883	4809804							9260082	0.0	9787197	0	1	-61600000	61600000
2800110.0	1870	MISSISSIPPI	280	BOLIVAR	110	9181439453125	73045626	0	0.754112184047699	0	0	0	0	0	13407698	0	0.0	4898414	-12107086	4896189	3450333	20546823	14041418	10529081	1328059	59985485	4741076							9124939	0.0	32853138	0	1	-21400000	21400000
2800110.0	1880	MISSISSIPPI	280	BOLIVAR	110	18652	73045626	0	0.626046359539032	0	0	0	0	0	9449973	0	0.0	4548597	0.85709924	45233464	30761495	21531937	1370883	11204592	29957323	63438807	5747009							9833709	0.0	2339362	0	1	-31000000	31000000
2800110.0	1890	MISSISSIPPI	280	BOLIVAR	110	29980	73045626	0	0.675321638584137	0	0	0	0	0	1328821	0	0.0	48894625	1474247	48560405	35195289	20256522	16829649	11991251	25649493	8082402	4436832							10308286	0.0	23880821	0	1	-48900000	48900000
