year	statename	statenum	countyname	countynum	capitalstock	capitalstock1902
1860.0	ALABAMA	10	AUTAUGA	10		
1870.0	ALABAMA	10	AUTAUGA	10	0	0
1880.0	ALABAMA	10	AUTAUGA	10	0	0
1890.0	ALABAMA	10	AUTAUGA	10	0	0
1900.0	ALABAMA	10	AUTAUGA	10	0	0
1910.0	ALABAMA	10	AUTAUGA	10		
1920.0	ALABAMA	10	AUTAUGA	10		
1970.0	ALABAMA	10	AUTAUGA	10		
1860.0	ALABAMA	10	BALDWIN	30		
1870.0	ALABAMA	10	BALDWIN	30	0	0
1880.0	ALABAMA	10	BALDWIN	30	0	0
1890.0	ALABAMA	10	BALDWIN	30	0	0
1900.0	ALABAMA	10	BALDWIN	30	0	0
1910.0	ALABAMA	10	BALDWIN	30		
1920.0	ALABAMA	10	BALDWIN	30		
1970.0	ALABAMA	10	BALDWIN	30		
1860.0	ALABAMA	10	BARBOUR	50		
1870.0	ALABAMA	10	BARBOUR	50	0	0
1880.0	ALABAMA	10	BARBOUR	50	58	58
1890.0	ALABAMA	10	BARBOUR	50	159	159
1900.0	ALABAMA	10	BARBOUR	50	245	145
1910.0	ALABAMA	10	BARBOUR	50		
1920.0	ALABAMA	10	BARBOUR	50		
1970.0	ALABAMA	10	BARBOUR	50		
1860.0	ALABAMA	10	BIBB	70		
1870.0	ALABAMA	10	BIBB	70	0	0
1880.0	ALABAMA	10	BIBB	70	0	0
1890.0	ALABAMA	10	BIBB	70	0	0
1900.0	ALABAMA	10	BIBB	70	0	0
1910.0	ALABAMA	10	BIBB	70		
1920.0	ALABAMA	10	BIBB	70		
1970.0	ALABAMA	10	BIBB	70		
1860.0	ALABAMA	10	BLOUNT	90		
1870.0	ALABAMA	10	BLOUNT	90	0	0
1880.0	ALABAMA	10	BLOUNT	90	0	0
1890.0	ALABAMA	10	BLOUNT	90	0	0
1900.0	ALABAMA	10	BLOUNT	90	0	0
1910.0	ALABAMA	10	BLOUNT	90		
1920.0	ALABAMA	10	BLOUNT	90		
1970.0	ALABAMA	10	BLOUNT	90		
1860.0	ALABAMA	10	BULLOCK	110		
1870.0	ALABAMA	10	BULLOCK	110	0	0
1880.0	ALABAMA	10	BULLOCK	110	0	0
1890.0	ALABAMA	10	BULLOCK	110	0	0
1900.0	ALABAMA	10	BULLOCK	110	0	0
1910.0	ALABAMA	10	BULLOCK	110		
1920.0	ALABAMA	10	BULLOCK	110		
1970.0	ALABAMA	10	BULLOCK	110		
1860.0	ALABAMA	10	BUTLER	130		
1870.0	ALABAMA	10	BUTLER	130	0	0
1880.0	ALABAMA	10	BUTLER	130	0	0
1890.0	ALABAMA	10	BUTLER	130	0	0
1900.0	ALABAMA	10	BUTLER	130	0	50
1910.0	ALABAMA	10	BUTLER	130		
1920.0	ALABAMA	10	BUTLER	130		
